disease,description,symptoms,causes,precautions,medicines,remedies
Fever,"High body temperature due to infection","High temperature, body pain, chills","Viral infection, bacterial infection, weak immunity","Take rest, drink plenty of fluids, avoid cold drinks","Paracetamol","Warm water, steam inhalation, tulsi tea"
Headache,"Pain in head or upper neck region","Head pain, pressure sensation","Stress, dehydration, lack of sleep","Avoid screen time, take rest, reduce stress","Pain reliever","Head massage, proper sleep"
Cold,"Common viral infection of nose and throat","Runny nose, sneezing, sore throat","Viral infection, cold weather exposure","Wear warm clothes, avoid cold air","Cold relief tablets","Ginger tea, steam inhalation"
Cough,"Reflex action to clear airways","Cough, throat irritation","Throat infection, pollution, smoking","Avoid cold drinks, stay hydrated","Cough syrup","Honey with warm water"
Flu,"Seasonal viral infection","Fever, cough, headache, body pain","Viral infection, seasonal changes","Take rest, maintain hygiene","Paracetamol","Warm fluids, steam"
Acidity,"Excess stomach acid production","Heartburn, stomach pain, nausea","Spicy food, irregular meals, stress","Avoid spicy food, eat light meals","Antacid","Cold milk, banana"
Stomach Pain,"Pain in abdominal region","Stomach pain, cramps, bloating","Indigestion, gas, food infection","Eat light food, avoid oily meals","Pain relief medicine","Warm water, ajwain"
Diarrhea,"Frequent loose stools","Loose stools, dehydration, weakness","Food contamination, bacterial infection","Drink ORS, avoid outside food","ORS","Banana, rice water"
Vomiting,"Forceful emptying of stomach","Nausea, vomiting, dehydration","Food poisoning, infection","Avoid solid food, sip fluids","Antiemetic","Ginger tea, lemon water"
Constipation,"Difficulty passing stools","Hard stools, bloating, discomfort","Low fiber diet, dehydration","Increase fiber intake, drink water","Laxative","Fruits, warm water"
Skin Allergy,"Allergic reaction on skin","Rash, itching, redness","Allergens, dust, chemicals","Avoid allergens, keep skin clean","Antihistamine","Aloe vera, cold compress"
Eczema,"Chronic skin inflammation","Dry skin, itching, redness","Genetic factors, allergens","Moisturize skin, avoid irritants","Skin ointment","Coconut oil"
Acne,"Skin condition causing pimples","Pimples, oily skin, redness","Hormonal imbalance, oily skin","Avoid oily food, clean face regularly","Acne gel","Neem paste, aloe vera"
Fungal Infection,"Skin infection caused by fungi","Itching, redness, skin peeling","Moist skin, poor hygiene","Keep area dry, maintain hygiene","Antifungal cream","Neem water wash"
Sore Throat,"Pain or irritation in throat","Throat pain, difficulty swallowing","Viral infection, bacterial infection","Avoid cold drinks, rest voice","Pain relief medicine","Salt water gargle"
Ear Pain,"Pain inside ear","Ear pain, discomfort","Ear infection, wax buildup","Keep ear dry, avoid inserting objects","Pain relief medicine","Warm compress"
Sinusitis,"Inflammation of sinus cavities","Facial pain, headache, nasal congestion","Sinus infection, allergies","Avoid dust, inhale steam","Nasal spray","Steam inhalation"
Eye Irritation,"Inflammation or discomfort in eyes","Redness, itching, watering","Dust, pollution, infection","Avoid touching eyes, keep clean","Eye drops","Cold compress"
Back Pain,"Pain in lower or upper back","Back pain, stiffness","Poor posture, muscle strain","Avoid heavy lifting, correct posture","Pain relief medicine","Hot water bag"
Neck Pain,"Pain or stiffness in neck","Neck pain, stiffness","Wrong sleeping posture, stress","Proper posture, gentle exercise","Pain relief medicine","Warm compress"
Joint Pain,"Pain in joints","Joint pain, swelling, stiffness","Aging, arthritis, overuse","Gentle exercise, rest joints","Pain relief medicine","Warm compress"
Arthritis,"Inflammation of joints","Joint pain, swelling, stiffness","Joint inflammation, aging","Regular exercise, weight control","Anti-inflammatory medicine","Warm water therapy"
High BP,"Increased blood pressure","Headache, dizziness","Stress, high salt intake, obesity","Reduce salt, regular exercise","BP medicine","Low-salt diet"
Low BP,"Decreased blood pressure","Dizziness, fatigue, fainting","Dehydration, poor nutrition","Drink fluids, balanced diet","Doctor advised medicine","Salt intake if advised"
Diabetes,"High blood sugar level","Frequent urination, thirst, fatigue","Insulin deficiency or resistance","Avoid sugar, regular monitoring","Anti-diabetic medicine","Balanced diet"
Asthma,"Chronic lung disease","Cough, shortness of breath, wheezing","Dust, smoke, allergies","Avoid triggers, use inhaler","Inhaler","Breathing exercises"
Bronchitis,"Inflammation of bronchial tubes","Cough, chest discomfort, fatigue","Smoking, air pollution","Avoid smoking, take rest","Bronchodilator","Warm fluids"
Chest Pain,"Pain in chest area","Chest pain, tightness","Heart-related issues, stress","Avoid exertion, seek medical help","Doctor prescribed medicine","Rest"
Anemia,"Low red blood cell count","Fatigue, weakness, pale skin","Iron deficiency, poor diet","Eat iron-rich food","Iron supplements","Spinach, dates"
Migraine,"Severe headache disorder","Severe headache, nausea, light sensitivity","Hormonal changes, stress","Avoid triggers, rest","Migraine medicine","Dark room rest"
Food Poisoning,"Illness from contaminated food","Vomiting, diarrhea, stomach pain","Contaminated food or water","Drink fluids, avoid solid food","ORS","Rice water"
Heat Stroke,"Severe heat-related illness","High fever, fatigue, dizziness","Extreme heat exposure","Stay cool, drink water","Medical attention","Cold compress"
Dehydration,"Loss of body fluids","Fatigue, dry mouth, dizziness","Low fluid intake, heat","Drink water regularly","ORS","Coconut water"
